howMuchDocumentsReadedForAllTimeTrickNumberOne;24900
.;24704
—;24124
,;23714
в;23473
=;22998
);22688
(;22684
-;20696
и;20399
год;19270
на;19210
с;17162
примечание;16305
:;15722
по;15424
ссылка;14199
«;13849
»;13848
быть;13359
из;12476
к;10624
который;10593
один;10565
от;10456
а;10336
он;10221
также;9975
за;9049
до;8735
точкасзапять;8693
1;8587
не;8267
как;8038
/;8037
2;7921
для;7867
два;7819
время;7595
свой;7474
это;7436
после;7337
о;7150
тот;7099
что;6978
история;6957
3;6769
5;6708
стать;6623
район;6520
человек;6440
состав;6410
сайт;6385
область;6360
метр;6315
4;6259
при;6239
они;6203
город;6083
весь;6035
англ;5822
этот;5817
являться;5816
другой;5725
под;5477
у;5457
литература;5443
но;5391
находиться;5281
имя;5226
получить;4898
население;4888
часть;4888
биография;4860
6;4845
или;4845
же;4840
10;4820
сантиметр;4797
иметь;4601
где;4534
место;4482
большой;4455
россия;4435
8;4428
входить;4404
7;4341
центр;4287
известный;4236
три;4196
составлять;4189
работа;4064
так;4025
название;4016
работать;4004
родиться;3998
более;3997
наш;3989
новый;3981
её;3954
она;3927
род;3913
советский;3912
9;3872
самый;3821
12;3819
число;3774
война;3752
себя;3747
несколько;3746
том;3744
российский;3710
то;3639
декабрь;3618
расположить;3617
такой;3585
январь;3585
официальный;3583
начало;3565
май;3551
километр;3528
март;3514
11;3470
20;3463
сентябрь;3460
15;3454
мир;3452
август;3448
октябрь;3439
только;3400
апрель;3399
2010;3398
высокий;3385
государственный;3381
июль;3362
дать;3355
век;3352
однако;3342
мочь;3337
ноябрь;3287
июнь;3280
конец;3224
затем;3218
результат;3212
национальный;3191
группа;3181
школа;3177
жизнь;3171
русский;3152
начать;3152
когда;3148
февраль;3147
страна;3118
совет;3115
30;3054
вид;3050
день;3050
через;3047
член;3042
между;3038
последний;3024
е;3017
16;2997
семья;2992
участие;2987
14;2984
18;2981
the;2974
isbn;2972
25;2959
13;2924
х;2923
главный;2909
№;2889
ссср;2879
ещё;2875
территория;2872
ряд;2870
река;2858
0;2839
общий;2817
поздний;2808
17;2806
некоторый;2791
принять;2790
среди;2788
вместе;2776
список;2772
2007;2753
первое;2753
of;2738
около;2724
качество;2694
2009;2683
далее;2679
2008;2672
хороший;2665
площадь;2629
2006;2626
создать;2604
19;2588
2012;2588
следующий;2581
уже;2573
военный;2553
й;2548
всего;2534
над;2529
образование;2526
плата;2501
сельский;2491
2000;2476
занимать;2471
2005;2470
четыре;2468
22;2461
выйти;2457
2011;2436
есть;2435
дом;2434
сша;2432
система;2429
деревня;2426
24;2365
2004;2364
институт;2361
западный;2358
москва;2347
2013;2347
2001;2335
21;2333
международный;2325
состоять;2319
период;2316
23;2309
окончить;2298
александр;2280
крупный;2279
награда;2277
2002;2275
основать;2273
участвовать;2271
чтобы;2270
сын;2267
американский;2263
i;2262
университет;2259
участник;2259
раз;2247
округа;2246
выступать;2240
пункт;2238
без;2227
автор;2221
сторона;2213
связь;2205
новое;2193
северный;2193
игра;2187
2014;2186
различный;2182
книга;2180
проходить;2178
восточный;2169
источник;2160
26;2159
язык;2155
современный;2148
сесть;2135
28;2134
провести;2130
образ;2127
восток;2119
южный;2112
27;2112
административный;2105
я;2102
красный;2100
a;2096
2003;2093
тем;2093
роль;2075
центральный;2068
кроме;2061
земля;2058
против;2051
2015;2043
использовать;2040
местный;2016
каждый;2015
1999;2007
представлять;1988
средний;1987
республика;1987
29;1984
право;1984
дело;1981
основный;1975
союз;1973
великий;1970
дата;1964
деятельность;1964
армия;1945
данные;1944
течение;1939
бывший;1935
